nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 279573219,106.0764,-56.7497,5.2,0,,,,,35,11.2,ok
TIC 167572319,101.3552,-65.0443,5.21,0,,,,,39,11.0,ok
TIC 200375784,77.798,-45.5776,5.21,0,,,,,6,7.6,ok
TIC 450072850,71.5076,11.7055,5.21,0,,,,,7,8.5,ok
TIC 436646983,72.4788,13.6889,5.21,0,,,,,7,9.1,ok
TIC 176379354,72.1534,-5.6755,5.21,0,,,,,3,4.2,ok
TIC 424994021,81.9022,-21.3755,5.23,0,,,,,4,5.2,ok
TIC 415556221,77.3322,9.8295,5.23,0,,,,,3,4.4,ok
TIC 153835092,67.3341,-46.5151,5.24,0,,,,,6,8.0,ok
TIC 46312858,83.1744,-16.3189,5.24,0,,,,,4,5.5,ok
TIC 100593518,86.8278,-35.6737,5.24,0,,,,,6,8.0,ok
TIC 213041474,75.2074,-5.7601,5.25,0,,,,,3,4.5,ok
TIC 300244770,109.8112,-67.1873,5.25,0,,,,,43,11.0,ok
TIC 255640115,98.3592,-52.329,5.25,0,,,,,19,11.1,ok
TIC 13955979,75.3938,-39.7179,5.25,0,,,,,3,4.6,ok
TIC 34308818,62.2331,-8.1009,5.26,0,,,,,2,2.8,ok
TIC 118034753,72.1356,-16.3293,5.26,0,,,,,3,4.2,ok
TIC 350655963,88.0844,-57.1566,5.27,0,,,,,42,10.7,ok
TIC 245819988,67.6627,15.6917,5.27,0,,,,,7,8.9,ok
TIC 449002323,67.0153,1.8586,5.27,0,,,,,2,3.3,ok
TIC 93279196,86.1087,-22.4239,5.28,0,,,,,5,6.3,ok
TIC 434229425,63.4577,12.7536,5.28,0,,,,,6,7.6,ok
TIC 300015238,107.1767,-70.4965,5.28,0,,,,,42,11.2,ok
TIC 121642909,70.5925,-23.178,5.28,0,,,,,3,4.3,ok
TIC 259443859,69.768,-51.6727,5.29,0,,,,,8,10.1,ok
TIC 220050906,83.5697,3.7668,5.29,0,,,,,3,4.4,ok
TIC 350298145,83.7613,-58.871,5.29,0,,,,,44,10.8,ok
TIC 283750761,63.6509,10.0113,5.3,0,,,,,7,8.7,ok
TIC 394678798,54.1252,-78.323,5.3,0,,,,,16,12.0,ok
TIC 33517080,87.8692,-22.9272,5.3,0,,,,,5,6.6,ok
TIC 279359927,104.6649,-55.7296,5.3,0,,,,,32,11.1,ok
TIC 7690180,65.4402,-37.7821,5.3,0,,,,,4,5.0,ok
TIC 153836249,67.7088,-44.9538,5.31,0,,,,,3,4.4,ok
TIC 448894790,66.7533,2.0792,5.32,0,,,,,3,4.4,ok
TIC 269794986,68.2368,-78.128,5.32,0,,,,,32,11.3,ok
TIC 151515712,87.3922,-44.8754,5.32,0,,,,,6,7.7,ok
TIC 435910664,64.9911,14.0351,5.32,0,,,,,6,7.5,ok
TIC 298904525,69.9469,-1.0525,5.32,0,,,,,2,3.5,ok
TIC 13222474,77.6858,-25.9103,5.33,0,,,,,3,4.3,ok
TIC 170589216,65.7823,-35.5447,5.33,0,,,,,4,4.9,ok
TIC 24699290,81.1202,-6.1473,5.33,0,,,,,2,3.3,ok
TIC 259592543,72.7296,-53.4611,5.33,0,,,,,12,11.2,ok
TIC 140288359,85.5633,-34.6675,5.34,0,,,,,?,143.8,timeout
TIC 93416618,86.8024,-21.5433,5.35,0,,,,,5,7.1,ok
TIC 24449988,82.352,-30.9562,5.36,0,,,,,4,5.4,ok
TIC 248445090,77.7423,-2.255,5.37,0,,,,,3,4.4,ok
TIC 396899912,62.8354,5.5231,5.37,0,,,,,2,2.7,ok
TIC 673117004,76.9706,8.4981,5.38,0,,,,,1,1.8,ok
TIC 71151813,67.5418,-13.5924,5.38,0,,,,,3,4.5,ok
TIC 178944841,68.659,-24.0404,5.38,0,,,,,3,4.3,ok
TIC 38828619,68.3869,-63.0291,5.38,0,,,,,31,10.9,ok
TIC 121639679,70.379,-23.9764,5.38,0,,,,,3,4.4,ok
TIC 151587925,88.3453,-42.9213,5.38,0,,,,,6,7.4,ok
TIC 250135532,63.3024,-3.8849,5.39,0,,,,,2,2.9,ok
TIC 407615454,60.9359,5.4356,5.39,0,,,,,2,2.8,ok
TIC 50794637,83.4071,-3.4632,5.39,0,,,,,3,4.2,ok
TIC 260131665,92.5746,-54.9686,5.39,0,,,,,43,11.0,ok
TIC 235071558,85.8792,-47.5463,5.39,0,,,,,7,9.1,ok
TIC 423786781,71.0638,-27.578,5.39,0,,,,,3,4.4,ok
TIC 317133707,86.7825,-16.2381,5.39,0,,,,,5,6.4,ok
TIC 169396790,76.8548,-12.4919,5.4,0,,,,,3,4.3,ok
TIC 332700015,63.5148,-15.9931,5.4,0,,,,,2,2.8,ok
TIC 245799490,67.5365,15.6377,5.4,0,,,,,7,9.0,ok
TIC 427454571,84.0626,-5.6479,5.4,0,,,,,2,3.3,ok
TIC 260416268,95.7322,-56.3701,5.41,0,,,,,41,11.1,ok
TIC 1233421,71.9568,-30.0198,5.41,0,,,,,3,4.3,ok
TIC 262298367,77.939,1.037,5.41,0,,,,,3,4.3,ok
TIC 46560321,84.7198,-14.041,5.41,0,,,,,3,4.3,ok
TIC 442895117,79.9959,-12.3155,5.41,0,,35.5,rejete,variabilite_continue;eclipse_secondaire,3,6.8,ok
TIC 14126552,77.5101,-40.5593,5.41,0,,,,,5,6.9,ok
TIC 427348779,83.622,-0.0124,5.42,0,,,,,2,3.2,ok
TIC 307160124,124.0005,-68.4722,5.42,0,,,,,27,11.2,ok
TIC 255752750,81.4993,-19.6955,5.42,0,,,,,4,5.4,ok
TIC 408190069,79.7127,-18.1297,5.43,0,,,,,3,4.4,ok
TIC 307291318,124.9537,-71.5147,5.43,0,,,,,29,11.4,ok
TIC 219410336,78.9119,-52.1821,5.43,0,,,,,14,11.1,ok
TIC 435923755,65.5153,14.0771,5.43,0,,,,,5,6.4,ok
TIC 262412883,69.307,0.9983,5.44,0,,,,,3,4.2,ok
TIC 100666076,87.2803,-32.5044,5.45,0,,,,,6,7.6,ok
TIC 21651176,87.619,-37.6211,5.45,0,,,,,6,7.5,ok
TIC 442929586,80.8757,-13.9274,5.46,0,,,,,4,5.2,ok
TIC 442920239,80.4805,-17.6036,5.46,0,,,,,3,4.2,ok
TIC 260041674,91.278,-56.2329,5.46,0,,,,,44,11.0,ok
TIC 100589904,86.4996,-32.3066,5.47,0,,,,,6,7.4,ok
TIC 248448574,77.8304,-2.4908,5.47,0,,,,,3,4.2,ok
TIC 143093935,89.0872,-31.3825,5.48,0,,,,,5,6.5,ok
